id,verdict,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50,val51,val52,val53,val54,val55,val56,val57,val58,val59,val60,val61,val62,val63,val64,val65,val66,val67,val68,val69,val70,val71
99690111,0,0,685.07,431.16,663.84,718.6,399.16,651.07,1659.3,1769.98,622.41,2399.82,1890.77,1347.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,244.8,226.6,267.5,618,303,176.8,208,280.8,303,0,262.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0628017241379,1040,136.592591589237,18657.5360770641,80.8,261.75,618,122.02227597178,14889.4358333333
57427180,0,3,290.29,627.32,398.4,498.39,669.38,651.12,164.46,430.52,265.89,378.58,349.27,507.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.89,393.9,252.5,884,412,454.5,0,1076.25,0,0,494.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.099219858156,318,48.3516692792133,2337.88392208641,234.6,493.848888888889,1076.25,276.903207936333,76675.3865654321
29617912,0,0,741.95,1411.18,281.19,398.93,290.68,31.93,426.29,783.08,703.45,874.22,325.96,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.69,725.1,206,227.63,185.64,257.25,724.78,759.88,988.42,404,144.45,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,104.964918032787,533.93,105.13335063222,11053.0214151572,144.45,350.347647058824,649.78,121.683376192159,14806.8440415225
61632809,0,0,553.45,353.95,431.03,507.07,845.54,1376.63,539.38,388.04,784.02,614.01,726.12,440.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.54,159.67,1899.86,0,742.47,1390.05,522,118.56,1137.76,2123.44,463.05,1074.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,26.9993571428571,247.8,30.9459151749517,957.649666015306,8.56,341.238333333333,1137.76,277.465209952327,76986.9427338889
14117855,0,0,1323.25,1460,1309.63,879.94,2036.48,1590.28,1320.09,1130.93,1121.78,1172.02,831.94,692.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723.28,1238,0,1752,1529.55,1416.78,1168.12,1455.3,852.24,894.4,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,92.93325,229.95,45.4803654826729,2068.4636444375,852.24,1315.867,1752,297.80512326184,88687.891441
23700394,0,0,882.38,336.98,1218.75,1177.4,648.04,0,65,9.63,331,261.91,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836.04,240.94,1789.21,156,1004.53,365.65,120.29,39.52,953.32,493,1410.79,1849.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2308633093525,393.76,56.884285428852,3235.8219287511,37.44,366.388928571429,1006.87,287.593854337021,82710.2250524235
27881705,0,0,50.27,2678.42,897.15,430.92,837.75,1059.51,819.4,1127.06,79,500.58,88.2,655.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,1799.9,979,766,394.54,2117.06,620,698.41,82.16,2905.05,262.75,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.734166666667,807,198.287465886371,39317.9191276389,63,398.138214285714,1703.44,436.271957884181,190333.221236097
46100731,0,1,609.77,1676.79,575.16,7260.04,492.84,764.22,463.31,580.89,432.64,1827.48,402.97,624.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,1173.79,0,395.9,895.59,714.48,599.96,1769.54,517.65,506.94,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.65,209.4716,1605,372.944111444919,139087.31026144,395.9,869.685,1769.54,434.778265285881,189032.139965
58512689,0,0,1038.21,105.62,316.98,41.81,607.47,183.6,60.84,254.71,414.08,372.63,409.2,27.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.74,782.25,0,920,0,400,2040,312,204,206,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1319230769231,305.02,59.0888158764955,3491.48816168639,204,541.199,2040,526.509323192857,277212.067409
24661392,0,0,226.13,255.11,194.01,506.68,231.01,601.53,535.15,342.35,352.09,449.09,332.63,285.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756.3,0,206,596.7,508.2,348.74,506.94,388.41,437.58,342.39,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,34.2140476190476,109.14,18.6558306209202,348.040016156463,204,404.66,596.7,124.292834650492,15448.7087454545
39254190,0,0,217.53,447.66,326.57,393.54,1062.75,1614.72,482.15,380.39,109.46,374.08,1337.4,199.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.54,284.96,0,913.78,1984.5,334,307.97,0,1498,234.26,391.14,790.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,45.996357615894,735.28,86.9032162619245,7552.16899666681,234.26,712.38,1984.5,566.644147432937,321085.58982
95779116,0,0,718.57,375.31,632.33,351.56,681.03,542.83,547.34,585.88,520.01,194.4,253.75,337.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,318.27,0,380,797.12,551.2,463.31,746.72,248.88,470.22,1067.42,407.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,51.7187387387387,345.28,50.8513326535643,2585.85803264345,171.72,473.629230769231,895.7,213.841139506789,45728.0329455621
26016069,0,1,203.04,0,0,189.74,5002.16,1651.11,1060.18,672.96,857.5,238.57,787.81,87.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,357,320.32,839.4,459.17,773.8,500,288,266.3,905.22,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.989583333333,1545,200.986238878627,40395.4682185764,20.8,255.295714285714,744.72,194.368527105732,37779.1243292517
47119980,0,0,1388.78,259.2,237.2,1055.08,1462.76,699.36,2149.56,276.37,97,283.48,2721.63,3284.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.88,0,736.29,2021.42,651.78,2088.2,271.32,283.25,263.55,2714.05,2736.09,382.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.119659090909,2370.05,318.398526637069,101377.621764657,156.88,1118.63272727273,2736.09,995.221377584733,990465.590401653
55240199,0,0,500.33,1102.57,548.33,270.94,0,242.32,243.96,424.26,608.74,206.5,75.6,105.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,592.78,0,233,0,0,454.48,639.45,229.5,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52.7985365853659,500.58,90.3477239056502,8162.71121493159,99,388.601428571429,639.45,188.718709529635,35614.7513265306
35559686,0,0,933.4,1716.15,840.47,2104.05,3125.12,1886.23,1752.83,654.92,693.94,792.66,1024.09,213.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1030,868.6,2997.78,2264,0,1800.7,725,714,1084.16,1234.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.6741071428571,1471.05,132.2295645672,17484.6577456314,93.6,650.644761904762,2083.86,465.286276113136,216491.318739229
